Negative Aspect,Neutral Aspect,Positive Aspect,Aspect,Data Pool Size
0.0,0.0,0.0,Jeff Bezos,0
0.0,0.0,0.0,Bezos,0
0.0,0.0,0.0,Joe Biden,0
0.0,0.0,0.0,Biden,0
0.0,0.0,0.0,Elon Musk,0
0.0,0.0,0.0,Musk,0
0.0,0.0,0.0,Vladimir Putin,0
0.0,0.0,0.0,Putin,0
0.0,0.0,0.0,Donald Trump,0
0.42836934,0.30135036,0.27028033,Trump,8
0.0,0.0,0.0,Volodymyr Zelenskyy,0
0.0,0.0,0.0,Volodymyr Zelensky,0
0.029207554,0.79109657,0.17969593,Zelensky,2
0.032809593,0.7733606,0.19382972,Ukraine,2
0.32538655,0.6699326,0.0046808226,Russia,2
0.9656628,0.033224367,0.0011129475,China,1
0.0,0.0,0.0,Mexico,0
0.57147545,0.421866,0.006658573,Canada,1
0.88856864,0.10160436,0.009826903,Israel,1
0.0,0.0,0.0,Palestine,0
0.11639601,0.6784536,0.20515035,US,19
0.0,0.0,0.0,USA,0
0.24273005,0.7173979,0.039871976,America,1
0.25614527,0.7208787,0.022976004,Gaza,1
0.0,0.0,0.0,Washington,0
0.0,0.0,0.0,Moscow,0
0.004243026,0.41697815,0.5787788,White House,1
0.0,0.0,0.0,Puerto Rico,0
0.0,0.0,0.0,Hispanic,0
0.085505724,0.7953632,0.11913117,Latin,1
0.0,0.0,0.0,Latino,0
0.0,0.0,0.0,Latina,0
0.0,0.0,0.0,Native Hawaiian,0
0.0,0.0,0.0,Alaska Native,0
0.0,0.0,0.0,Native American,0
0.0,0.0,0.0,Navajo,0
0.0,0.0,0.0,Abenaki,0
0.0,0.0,0.0,Asian,0
0.008413085,0.534856,0.45673087,White,2
0.482978,0.4981528,0.018869225,Black,1
0.0,0.0,0.0,African American,0
0.0,0.0,0.0,Queer,0
0.0,0.0,0.0,Gay,0
0.0,0.0,0.0,Trans,0
0.0,0.0,0.0,Transgender,0
0.0,0.0,0.0,Disabled,0
0.0,0.0,0.0,Veteran,0
0.0,0.0,0.0,Homeless,0
0.0,0.0,0.0,Citizen,0
0.0,0.0,0.0,Undocumented,0
0.0,0.0,0.0,Immigrant,0
0.0,0.0,0.0,Migrant,0
0.0,0.0,0.0,Employed,0
0.0,0.0,0.0,Unemployed,0
0.15647018,0.5648868,0.278643,Male,2
0.011215985,0.14098944,0.84779453,Female,2
0.6023467,0.36366075,0.033992533,Man,2
0.0,0.0,0.0,Woman,0
0.12648354,0.8644166,0.0090997815,Police,1
0.94359523,0.045325592,0.011079121,LGBTQ+,1
