Negative Aspect,Neutral Aspect,Positive Aspect,Aspect,Data Pool Size
0.0,0.0,0.0,Jeff Bezos,0
0.0,0.0,0.0,Bezos,0
0.0,0.0,0.0,Joe Biden,0
0.0,0.0,0.0,Biden,0
0.0,0.0,0.0,Elon Musk,0
0.0,0.0,0.0,Musk,0
0.0,0.0,0.0,Vladimir Putin,0
0.0,0.0,0.0,Putin,0
0.0,0.0,0.0,Donald Trump,0
0.49357605,0.3802202,0.12620366,Trump,4
0.0,0.0,0.0,Volodymyr Zelenskyy,0
0.0,0.0,0.0,Volodymyr Zelensky,0
0.0,0.0,0.0,Zelensky,0
0.0,0.0,0.0,Ukraine,0
0.0,0.0,0.0,Russia,0
0.0,0.0,0.0,China,0
0.0,0.0,0.0,Mexico,0
0.047882702,0.77281934,0.17929792,Canada,7
0.0,0.0,0.0,Israel,0
0.0,0.0,0.0,Palestine,0
0.55131245,0.32905126,0.11963631,US,7
0.0,0.0,0.0,USA,0
0.4707881,0.5220434,0.007168499,America,1
0.028322885,0.96523005,0.006447004,Gaza,1
0.0,0.0,0.0,Washington,0
0.0,0.0,0.0,Moscow,0
0.0,0.0,0.0,White House,0
0.0,0.0,0.0,Puerto Rico,0
0.0,0.0,0.0,Hispanic,0
0.0,0.0,0.0,Latin,0
0.0,0.0,0.0,Latino,0
0.0,0.0,0.0,Latina,0
0.0,0.0,0.0,Native Hawaiian,0
0.0,0.0,0.0,Alaska Native,0
0.0,0.0,0.0,Native American,0
0.0,0.0,0.0,Navajo,0
0.0,0.0,0.0,Abenaki,0
0.0,0.0,0.0,Asian,0
0.0,0.0,0.0,White,0
0.0,0.0,0.0,Black,0
0.0,0.0,0.0,African American,0
0.0,0.0,0.0,Queer,0
0.0,0.0,0.0,Gay,0
0.0,0.0,0.0,Trans,0
0.0,0.0,0.0,Transgender,0
0.0,0.0,0.0,Disabled,0
0.0,0.0,0.0,Veteran,0
0.0037031036,0.9933571,0.0029397411,Homeless,1
0.0,0.0,0.0,Citizen,0
0.0,0.0,0.0,Undocumented,0
0.0,0.0,0.0,Immigrant,0
0.0,0.0,0.0,Migrant,0
0.0,0.0,0.0,Employed,0
0.0,0.0,0.0,Unemployed,0
0.0,0.0,0.0,Male,0
0.0,0.0,0.0,Female,0
0.37239718,0.4770995,0.1505033,Man,3
0.015415744,0.9578813,0.026702916,Woman,1
0.22054033,0.7626777,0.01678188,Police,1
0.0,0.0,0.0,LGBTQ+,0
