Negative Aspect,Neutral Aspect,Positive Aspect,Aspect,Data Pool Size
0.0,0.0,0.0,Jeff Bezos,0
0.0,0.0,0.0,Bezos,0
0.0,0.0,0.0,Joe Biden,0
0.97058296,0.024336895,0.0050801802,Biden,1
0.8745626,0.121169396,0.004267976,Elon Musk,1
0.895447,0.08502571,0.019527296,Musk,2
0.0,0.0,0.0,Vladimir Putin,0
0.013380716,0.5439573,0.44266197,Putin,1
0.0,0.0,0.0,Donald Trump,0
0.42224723,0.41144463,0.16630812,Trump,16
0.0,0.0,0.0,Volodymyr Zelenskyy,0
0.0,0.0,0.0,Volodymyr Zelensky,0
0.0,0.0,0.0,Zelensky,0
0.04777965,0.9369878,0.01523257,Ukraine,7
0.37967154,0.4049604,0.21536803,Russia,3
0.29724407,0.6407657,0.06199023,China,2
0.13083881,0.8461225,0.023038708,Mexico,1
0.95120054,0.042403623,0.006395883,Canada,1
0.63562554,0.35399413,0.010380358,Israel,4
0.0,0.0,0.0,Palestine,0
0.42380443,0.46264082,0.11355472,US,28
0.36816335,0.27402025,0.3578164,USA,2
0.16633952,0.778807,0.054853514,America,3
0.10754122,0.8713362,0.021122526,Gaza,2
0.26312804,0.72857535,0.008296654,Washington,1
0.0,0.0,0.0,Moscow,0
0.34168434,0.57084656,0.0874691,White House,2
0.0,0.0,0.0,Puerto Rico,0
0.0,0.0,0.0,Hispanic,0
0.13565513,0.75488806,0.1094569,Latin,1
0.0,0.0,0.0,Latino,0
0.0,0.0,0.0,Latina,0
0.0,0.0,0.0,Native Hawaiian,0
0.0,0.0,0.0,Alaska Native,0
0.0,0.0,0.0,Native American,0
0.0,0.0,0.0,Navajo,0
0.0,0.0,0.0,Abenaki,0
0.0,0.0,0.0,Asian,0
0.17647845,0.5078983,0.3156233,White,4
0.2953189,0.6355077,0.0691734,Black,1
0.0,0.0,0.0,African American,0
0.0,0.0,0.0,Queer,0
0.32566673,0.66247743,0.011855837,Gay,1
0.38199514,0.5001302,0.11787464,Trans,2
0.3181203,0.59992975,0.08194998,Transgender,2
0.0,0.0,0.0,Disabled,0
0.0,0.0,0.0,Veteran,0
0.0,0.0,0.0,Homeless,0
0.0,0.0,0.0,Citizen,0
0.0,0.0,0.0,Undocumented,0
0.0,0.0,0.0,Immigrant,0
0.0,0.0,0.0,Migrant,0
0.0,0.0,0.0,Employed,0
0.0,0.0,0.0,Unemployed,0
0.0,0.0,0.0,Male,0
0.0,0.0,0.0,Female,0
0.62286973,0.32322925,0.05390102,Man,8
0.29241365,0.65817684,0.04940948,Woman,1
0.1348284,0.7577232,0.10744848,Police,1
0.0,0.0,0.0,LGBTQ+,0
