Negative Aspect,Neutral Aspect,Positive Aspect,Aspect,Data Pool Size
0.0,0.0,0.0,Jeff Bezos,0
0.0,0.0,0.0,Bezos,0
0.0,0.0,0.0,Joe Biden,0
0.37350583,0.4704109,0.15608321,Biden,2
0.34606156,0.6235728,0.030365733,Elon Musk,3
0.4193884,0.5473655,0.033246,Musk,6
0.0,0.0,0.0,Vladimir Putin,0
0.016243003,0.9437118,0.040045258,Putin,1
0.021644227,0.97017866,0.008177062,Donald Trump,1
0.4651661,0.3871321,0.14770178,Trump,39
0.0,0.0,0.0,Volodymyr Zelenskyy,0
0.0,0.0,0.0,Volodymyr Zelensky,0
0.0,0.0,0.0,Zelensky,0
0.016514773,0.9792045,0.0042807125,Ukraine,1
0.011427918,0.95896864,0.029603457,Russia,1
0.0,0.0,0.0,China,0
0.03382538,0.95350045,0.012674183,Mexico,1
0.0,0.0,0.0,Canada,0
0.66669285,0.2314895,0.101817645,Israel,5
0.0,0.0,0.0,Palestine,0
0.28960472,0.56707424,0.1433211,US,52
0.0,0.0,0.0,USA,0
0.23646352,0.54085505,0.22268139,America,21
0.0,0.0,0.0,Gaza,0
0.031519067,0.9572296,0.0112513425,Washington,1
0.0,0.0,0.0,Moscow,0
0.00875696,0.94863886,0.04260419,White House,4
0.0,0.0,0.0,Puerto Rico,0
0.0,0.0,0.0,Hispanic,0
0.36707002,0.5273617,0.105568275,Latin,1
0.0,0.0,0.0,Latino,0
0.0,0.0,0.0,Latina,0
0.0,0.0,0.0,Native Hawaiian,0
0.0,0.0,0.0,Alaska Native,0
0.0,0.0,0.0,Native American,0
0.0,0.0,0.0,Navajo,0
0.0,0.0,0.0,Abenaki,0
0.0,0.0,0.0,Asian,0
0.069743164,0.8422162,0.08804067,White,6
0.0,0.0,0.0,Black,0
0.0,0.0,0.0,African American,0
0.0,0.0,0.0,Queer,0
0.0,0.0,0.0,Gay,0
0.15267815,0.649802,0.19751985,Trans,3
0.16301268,0.8177409,0.019246334,Transgender,2
0.0,0.0,0.0,Disabled,0
0.0,0.0,0.0,Veteran,0
0.0,0.0,0.0,Homeless,0
0.0,0.0,0.0,Citizen,0
0.0,0.0,0.0,Undocumented,0
0.0,0.0,0.0,Immigrant,0
0.0,0.0,0.0,Migrant,0
0.0,0.0,0.0,Employed,0
0.0,0.0,0.0,Unemployed,0
0.0,0.0,0.0,Male,0
0.0,0.0,0.0,Female,0
0.45117074,0.47936288,0.06946636,Man,17
0.6329785,0.29959098,0.06743049,Woman,2
0.3369078,0.65252763,0.010564504,Police,5
0.0,0.0,0.0,LGBTQ+,0
