Negative Aspect,Neutral Aspect,Positive Aspect,Aspect,Data Pool Size
0.0,0.0,0.0,Jeff Bezos,0
0.0,0.0,0.0,Bezos,0
0.0,0.0,0.0,Joe Biden,0
0.0,0.0,0.0,Biden,0
0.0,0.0,0.0,Elon Musk,0
0.0,0.0,0.0,Musk,0
0.0,0.0,0.0,Vladimir Putin,0
0.0,0.0,0.0,Putin,0
0.0,0.0,0.0,Donald Trump,0
0.16563857,0.7388673,0.09549411,Trump,4
0.0,0.0,0.0,Volodymyr Zelenskyy,0
0.0,0.0,0.0,Volodymyr Zelensky,0
0.27189374,0.6175879,0.110518284,Zelensky,1
0.13217615,0.79273033,0.07509353,Ukraine,3
0.37788486,0.5971954,0.024919743,Russia,3
0.0,0.0,0.0,China,0
0.36030447,0.6218729,0.017822705,Mexico,1
0.0,0.0,0.0,Canada,0
0.0,0.0,0.0,Israel,0
0.0,0.0,0.0,Palestine,0
0.20925236,0.61289513,0.1778526,US,5
0.0,0.0,0.0,USA,0
0.008625064,0.7640928,0.22728218,America,1
0.0070004836,0.98726463,0.005734856,Gaza,1
0.0,0.0,0.0,Washington,0
0.0,0.0,0.0,Moscow,0
0.0,0.0,0.0,White House,0
0.0,0.0,0.0,Puerto Rico,0
0.0,0.0,0.0,Hispanic,0
0.0,0.0,0.0,Latin,0
0.0,0.0,0.0,Latino,0
0.0,0.0,0.0,Latina,0
0.0,0.0,0.0,Native Hawaiian,0
0.0,0.0,0.0,Alaska Native,0
0.0,0.0,0.0,Native American,0
0.0,0.0,0.0,Navajo,0
0.0,0.0,0.0,Abenaki,0
0.0,0.0,0.0,Asian,0
0.0,0.0,0.0,White,0
0.0,0.0,0.0,Black,0
0.0,0.0,0.0,African American,0
0.0,0.0,0.0,Queer,0
0.0,0.0,0.0,Gay,0
0.0,0.0,0.0,Trans,0
0.0,0.0,0.0,Transgender,0
0.0,0.0,0.0,Disabled,0
0.0,0.0,0.0,Veteran,0
0.0,0.0,0.0,Homeless,0
0.0,0.0,0.0,Citizen,0
0.0,0.0,0.0,Undocumented,0
0.0,0.0,0.0,Immigrant,0
0.0,0.0,0.0,Migrant,0
0.0,0.0,0.0,Employed,0
0.0,0.0,0.0,Unemployed,0
0.0,0.0,0.0,Male,0
0.0,0.0,0.0,Female,0
0.0,0.0,0.0,Man,0
0.0,0.0,0.0,Woman,0
0.0,0.0,0.0,Police,0
0.0,0.0,0.0,LGBTQ+,0
