Negative Aspect,Neutral Aspect,Positive Aspect,Aspect,Data Pool Size
0.0,0.0,0.0,Jeff Bezos,0
0.0,0.0,0.0,Bezos,0
0.0,0.0,0.0,Joe Biden,0
0.6088526,0.38477015,0.006377171,Biden,2
0.7229913,0.2496779,0.0273308,Elon Musk,2
0.54224515,0.41277602,0.044978824,Musk,3
0.0,0.0,0.0,Vladimir Putin,0
0.0,0.0,0.0,Putin,0
0.78985643,0.17764068,0.03250281,Donald Trump,1
0.51303846,0.35759977,0.12936175,Trump,16
0.0,0.0,0.0,Volodymyr Zelenskyy,0
0.0,0.0,0.0,Volodymyr Zelensky,0
0.4942135,0.49500746,0.010779099,Zelensky,1
0.09661497,0.88197803,0.02140699,Ukraine,2
0.7428219,0.24314453,0.0140336,Russia,2
0.7599778,0.15764423,0.08237792,China,2
0.0014990671,0.9923379,0.00616312,Mexico,1
0.0,0.0,0.0,Canada,0
0.81248814,0.1820069,0.0055048726,Israel,1
0.0,0.0,0.0,Palestine,0
0.39131594,0.52973884,0.078945205,US,40
0.48862568,0.48073307,0.030641263,USA,2
0.66473454,0.2886462,0.0466193,America,1
0.110249124,0.875527,0.014223862,Gaza,1
0.0,0.0,0.0,Washington,0
0.0,0.0,0.0,Moscow,0
0.0,0.0,0.0,White House,0
0.0,0.0,0.0,Puerto Rico,0
0.0,0.0,0.0,Hispanic,0
0.0,0.0,0.0,Latin,0
0.0,0.0,0.0,Latino,0
0.0,0.0,0.0,Latina,0
0.0,0.0,0.0,Native Hawaiian,0
0.0,0.0,0.0,Alaska Native,0
0.0,0.0,0.0,Native American,0
0.0,0.0,0.0,Navajo,0
0.0,0.0,0.0,Abenaki,0
0.0,0.0,0.0,Asian,0
0.15771788,0.78907436,0.053207804,White,3
0.08339125,0.836312,0.080296725,Black,3
0.0,0.0,0.0,African American,0
0.0,0.0,0.0,Queer,0
0.0,0.0,0.0,Gay,0
0.7924221,0.19774555,0.00983242,Trans,1
0.0,0.0,0.0,Transgender,0
0.0,0.0,0.0,Disabled,0
0.0,0.0,0.0,Veteran,0
0.0,0.0,0.0,Homeless,0
0.0,0.0,0.0,Citizen,0
0.0,0.0,0.0,Undocumented,0
0.0,0.0,0.0,Immigrant,0
0.51139486,0.4832242,0.0053809714,Migrant,5
0.0,0.0,0.0,Employed,0
0.0,0.0,0.0,Unemployed,0
0.16381963,0.7367554,0.0994251,Male,1
0.0,0.0,0.0,Female,0
0.5632575,0.28091356,0.15582888,Man,13
0.79125386,0.17925887,0.02948721,Woman,6
0.0,0.0,0.0,Police,0
0.0,0.0,0.0,LGBTQ+,0
